City,State,Median Income,Percent with Bachelors or Higher,Population,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8
Cadillac city,Michigan,22555,16.9790817712578,10497,,,,
Harrietta village,Michigan,17602,7.92079207920792,146,,,,
Caseville city,Michigan,32964,13.3587786259541,735,,,,
Copemish village,Michigan,23522,15.4471544715447,193,,,,
Custer village,Michigan,17963,10.5555555555555,285,,,,
Ishpeming city,Michigan,26146,24.5621716287215,6416,,,,
Beaver Bay city,Minnesota,34218,44.6808510638297,171,,,,
Ada city,Minnesota,28875,21.7621145374449,1563,,,,
Perley city,Minnesota,36876,10.6060606060606,83,,,,
Hadley city,Minnesota,42879,12.7659574468085,57,,,,
Lake Wilson city,Minnesota,36087,5.69948186528497,227,,,,
Kenneth city,Minnesota,25555,3.38983050847457,66,,,,
Hazel Run city,Minnesota,20725,25.5813953488372,56,,,,
Elmore city,Minnesota,38450,10.4294478527607,616,,,,
Greenwald city,Minnesota,25154,7.33333333333333,222,,,,
Long Prairie city,Minnesota,21470,16.7803547066848,3301,,,,
Albany city,Minnesota,28750,21.2659633536923,2766,,,,
Eden Valley city,Minnesota,24244,10,1039,,,,
New Munich city,Minnesota,25980,12.3809523809523,324,,,,
Waite Park city,Minnesota,24645,16.6202612979224,7768,,,,
Calumet city,Minnesota,22442,6.74157303370786,351,,,,
Nashwauk city,Minnesota,29816,13.6540962288686,952,,,,
Nimrod city,Minnesota,19268,4.16666666666666,64,,,,
Bloomington city,Minnesota,41137,41.9445114595898,84943,,,,
Vernon Center city,Minnesota,30380,19.1489361702127,313,,,,
Ghent city,Minnesota,29494,19.298245614035,366,,,,
Taunton city,Minnesota,22588,17.7083333333333,133,,,,
Chokio city,Minnesota,27702,21.0884353741496,386,,,,
Marshall city,Minnesota,27571,29.2118226600985,13487,,,,
Thief River Falls city,Minnesota,29477,19.694507637309,8828,,,,
Cromwell city,Minnesota,17948,6.96517412935323,232,,,,
Kettle River city,Minnesota,24316,14.9253731343283,172,,,,
Chaska city,Minnesota,42761,46.1201279469257,26989,,,,
Brownsville city,Minnesota,32216,18.2027649769585,505,,,,
Wilder city,Minnesota,17924,0,57,,,,
Spicer city,Minnesota,36409,29.8557158712541,1222,,,,
Waterville city,Minnesota,29350,20.510894064613,1892,,,,
Crosslake city,Minnesota,48885,32.6326852338413,2354,,,,
Elkton city,Minnesota,26635,16.0919540229885,148,,,,
Gibbon city,Minnesota,28454,10.15625,755,,,,
Green Isle city,Minnesota,24512,16.1375661375661,558,,,,
Winthrop city,Minnesota,29623,19.1251271617497,1347,,,,
Brooks city,Minnesota,26875,13.8888888888888,137,,,,
Litchfield city,Minnesota,32372,19.6714223951578,6650,,,,
St. Michael city,Minnesota,36437,42.2162576687116,18204,,,,
Borup city,Minnesota,19349,10.7692307692307,103,,,,
Rice Lake CDP,Minnesota,9756,5.26315789473684,,,,,
Hill City city,Minnesota,20451,6.09756097560975,585,,,,
McGrath city,Minnesota,14316,0,74,,,,
Tamarack city,Minnesota,17957,0,94,,,,
Amboy city,Minnesota,25669,15.3172866520787,507,,,,
Eagle Lake city,Minnesota,30885,33.0494037478705,3087,,,,
Kerkhoven city,Minnesota,21360,18.7648456057007,706,,,,
Comstock city,Minnesota,36462,44.0677966101694,108,,,,
Johnson city,Minnesota,38858,0,27,,,,
Felton city,Minnesota,30321,10.204081632653,172,,,,
Glyndon city,Minnesota,30019,28.3018867924528,1373,,,,
Hamburg city,Minnesota,35823,15.7248157248157,517,,,,
Mayer city,Minnesota,34071,37.012987012987,2266,,,,
Watertown city,Minnesota,32409,23.0606488011283,4529,,,,
Georgetown city,Minnesota,30541,10.9090909090909,126,,,,
Moorhead city,Minnesota,28816,37.7497793114517,43652,,,,
Foley city,Minnesota,24576,20.0120554550934,2673,,,,
Clearbrook city,Minnesota,24337,20.3910614525139,521,,,,
Eagan city,Minnesota,46476,51.7888049074378,66372,,,,
Callaway city,Minnesota,23257,7.93650793650793,230,,,,
Lakeville city,Minnesota,45254,50.5596379385858,67317,,,,
Rosemount city,Minnesota,43680,47.3559992345474,25207,,,,
Negaunee city,Michigan,27545,31.4171122994652,4525,,,,
West Ishpeming CDP,Michigan,30292,29.5887662988966,,,,,
Ferrysburg city,Michigan,35482,35.1131994873985,3028,,,,
Grand Haven city,Michigan,35757,35.8714043993231,11047,,,,
Houghton Lake CDP,Michigan,19256,9.375,,,,,
Riverview city,Michigan,35058,19.7239986536519,12032,,,,
Taylor city,Michigan,25010,11.6159228441754,60922,,,,
Eaton Rapids city,Michigan,22876,17.5428233904311,5245,,,,
Coopersville city,Michigan,23992,18.7214611872146,4387,,,,
Centreville village,Michigan,21247,11.0992529348986,1406,,,,
Sturgis city,Michigan,19550,9.58406050029086,10861,,,,
Holland city,Michigan,27225,32.6287585590949,33216,,,,
Norton Shores city,Michigan,33147,32.0033053948766,24664,,,,
Harvey CDP,Michigan,23017,41.0358565737051,,,,,
Palmer CDP,Michigan,23060,6.03174603174603,,,,,
St. Helen CDP,Michigan,17900,5.34709193245778,,,,,
Forestville village,Michigan,24567,13.6363636363636,127,,,,
Leslie city,Michigan,25115,14.9480415667466,1898,,,,
Okemos CDP,Michigan,43407,74.9047619047619,,,,,
Detroit Beach CDP,Michigan,28148,12.058371735791,,,,,
Twin Lake CDP,Michigan,35444,20.7034372501998,,,,,
Spring Lake village,Michigan,34576,40.0112866817155,2485,,,,
Posen village,Michigan,20692,6.20689655172413,218,,,,
